Date,Open,High,Low,Close,Adj Close,Volume
2011-08-08,26.400000,28.400000,25.000000,25.950001,22.917904,235505
2011-08-15,25.950001,26.950001,23.650000,24.299999,21.460690,132531
2011-08-22,24.600000,24.950001,23.000000,23.200001,20.489218,126585
2011-08-29,23.200001,25.000000,23.200001,24.000000,21.195742,53442
2011-09-05,23.250000,26.000000,23.250000,25.250000,22.299690,128864
2011-09-12,24.500000,28.299999,23.500000,25.350000,22.388006,116966
2011-09-19,25.000000,26.799999,23.500000,24.200001,21.372377,206203
2011-09-26,23.600000,29.350000,23.600000,29.000000,25.611526,366893
2011-10-03,28.950001,31.200001,27.799999,30.950001,27.333677,435150
2011-10-10,30.000000,32.200001,28.400000,31.700001,27.996050,301235
2011-10-17,31.000000,33.200001,30.750000,31.950001,28.216833,197260
2011-10-24,32.000000,34.500000,30.650000,34.200001,30.203938,414561
2011-10-31,34.200001,41.000000,33.549999,39.349998,34.752186,733326
2011-11-07,39.349998,39.849998,35.200001,36.099998,31.881939,267805
2011-11-14,36.450001,37.200001,34.799999,35.750000,31.572823,342518
2011-11-21,35.250000,37.000000,31.650000,36.549999,32.279350,212269
2011-11-28,36.750000,37.650002,35.099998,36.500000,32.235191,111377
2011-12-05,35.599998,37.250000,34.500000,36.799999,32.500145,137665
2011-12-12,37.950001,38.250000,34.349998,35.849998,31.661140,189797
2011-12-19,35.250000,37.000000,34.500000,36.049999,31.837776,208715
2011-12-26,35.200001,36.450001,33.500000,34.500000,30.468878,165968
2012-01-02,34.650002,35.400002,33.599998,34.700001,30.645514,129559
2012-01-09,34.049999,37.400002,34.000000,36.799999,32.500145,218465
2012-01-16,36.000000,41.000000,36.000000,36.349998,32.102718,114352
2012-01-23,35.099998,38.750000,35.099998,37.849998,33.427452,148264
2012-01-30,37.849998,39.250000,37.099998,37.299999,32.941715,147794
2012-02-06,37.150002,42.450001,31.000000,38.900002,34.354767,840628
2012-02-13,38.500000,45.250000,35.349998,37.650002,33.250820,351404
2012-02-20,37.650002,38.500000,37.099998,37.200001,32.853397,182569
2012-02-27,36.650002,37.700001,34.599998,36.099998,31.881939,103661
2012-03-05,36.049999,37.000000,33.950001,35.549999,31.396193,130050
2012-03-12,36.750000,40.349998,33.900002,34.900002,30.822151,757191
2012-03-19,34.099998,37.500000,34.099998,36.650002,32.367672,361867
2012-03-26,36.650002,37.500000,34.799999,34.900002,30.822151,393972
2012-04-02,35.049999,38.849998,35.049999,36.900002,32.588463,253325
2012-04-09,36.150002,37.250000,34.000000,34.349998,30.336407,393559
2012-04-16,34.400002,42.250000,34.400002,40.450001,35.723671,1654184
2012-04-23,40.700001,41.700001,36.049999,39.250000,34.663872,1053886
2012-04-30,39.450001,41.700001,37.200001,37.349998,32.985870,552575
